,theta_2,theta_3,R3,theta_4,R4,R5,h3,f3,h4,f4,f5,h3p,f3p,h4p,f4p,f5p,T,F12,F14,F23,F34,F45
324,3.239999999999975,44.007565533038864,-1.9909566202195248,44.007565533038864,-2.2328914825572,228.17652101677984,0.0024912627384438136,-0.025234048386504802,-0.0,-0.0,-0.0,0.025232450898332127,0.0024896652502711465,-0.0,-0.0,-0.0,349.56881351678607,85.81088897607327,57.159763471762865,173.78349552560135,-54.972281653862495,98.10000000000001
325,3.2499999999999747,44.007591733102466,-1.9888926949727272,44.007591733102466,-2.2305767555272857,228.1788364829728,0.002748891541927809,-0.025257648322415296,-0.0,-0.0,-0.0,0.025255880054514273,0.002747123274026789,-0.0,-0.0,-0.0,349.55456280506894,85.80680292481001,57.16215698159502,173.77637016974282,-54.972845404117976,98.10000000000001
326,3.2599999999999745,44.007620515918454,-1.9866300096507337,44.007620515918454,-2.2280391157154105,228.1813749348123,0.003007859622332555,-0.0252838149448067,-0.0,-0.0,-0.0,0.025281873380016272,0.003005918057542127,-0.0,-0.0,-0.0,349.4894368372694,85.78854651749099,57.16470725742321,173.74380718584302,-54.97358101798986,98.10000000000001
327,3.2699999999999743,44.00765189555079,-1.9841687908523087,44.00765189555079,-2.225278817255916,228.1841361185606,0.003268301630434957,-0.02531256094285196,-0.0,-0.0,-0.0,0.025310443302850077,0.0032661839904330704,-0.0,-0.0,-0.0,349.37344521006395,85.75612030957105,57.16741548217379,173.6858113722403,-54.974489537924555,98.10000000000001
328,3.279999999999974,44.0076858874186,-1.9815092850688352,44.0076858874186,-2.2222961365930525,228.187119758208,0.003530354022070548,-0.025343900339803986,-0.0,-0.0,-0.0,0.025341603577440804,0.003528057259707371,-0.0,-0.0,-0.0,349.2066074691574,85.70952617075471,57.170282924937155,173.60239250178702,-54.975572109450404,98.10000000000001
329,3.289999999999974,44.007722508315126,-1.978651758660052,44.007722508315126,-2.2190913724537666,228.190325555501,0.0037941552358325688,-0.025377848510078894,-0.0,-0.0,-0.0,0.025375369300912116,0.003791676026665788,-0.0,-0.0,-0.0,348.9889531229245,85.64876728267953,57.17331094261628,173.49356532867057,-54.97682998303801,98.10000000000001
330,3.2999999999999736,44.00776177642847,-1.9755964978278595,44.00776177642847,-2.215664845818324,228.19375318997191,0.004059845875375594,-0.025414422198056643,-0.0,-0.0,-0.0,0.025411756931051167,0.0040571806083701265,-0.0,-0.0,-0.0,348.7205216639725,85.57384813633391,57.17650098169089,173.35934959919456,-54.97826451612132,98.10000000000001
331,3.3099999999999734,44.00780371136412,-1.9723438085881848,44.00780371136412,-2.212016899888757,228.19740231897129,0.004327568896799444,-0.025453639538775497,-0.0,-0.0,-0.0,0.025450784306125792,0.004324713664149744,-0.0,-0.0,-0.0,348.4013625987466,85.48477452921095,57.179854580113705,173.19977006658164,-54.97987717528489,98.10000000000001
332,3.319999999999973,44.0078483341695,-1.9688940167409106,44.0078483341695,-2.2081479000551374,228.20127257770213,0.0045974698015482564,-0.02549552008030783,-0.0,-0.0,-0.0,0.025492470666336777,0.004594420387577204,-0.0,-0.0,-0.0,348.0315354852324,85.38155356218127,57.18337336931944,173.0148565098245,-54.981669538623805,98.10000000000001
333,3.329999999999973,44.00789566736038,-1.96524746783788,44.00789566736038,-2.2040582338596946,228.20536357925673,0.0048696968353665665,-0.025540084808171094,-0.0,-0.0,-0.0,0.025536836677254687,0.004866448704450155,-0.0,-0.0,-0.0,347.61110997895946,85.26419363608922,57.18705907637939,172.80464375668805,-54.983643298283184,98.10000000000001
